Folder,Motion_Onset_Frame,Video_Onset_Time_ms,Offset_ms,Confidence,Trim_Offset_s,IMU_Peak_Time_s,IMU_Offset_ms,IMU_Confidence,IMU_Start_Time,GoPro_Start_Time,IMU_Trim_Start_Time,GT_Offset_ms
Aeros_Jump_1,0,,,,,,,,,,,
Aeros_Jump_2,0,,,,,,,,,,,
Aeros_Jump_5,0,,,,,,,,,,,
Aeros_Jump_6,0,,,,,,,,,,,
Aeros_Jump_7,0,,,,,,,,,,,
Arya_Jump_1,1436,,,1.0,,,,,,,,
Arya_Jump_2,1432,,,1.0,,,,,,,,
Arya_Jump_3,1426,,,1.0,,,,,,,,
Arya_Jump_4,1382,,,1.0,,,,,,,,
Arya_Jump_5,1330,,,1.0,,,,,,,,
Arya_Jump_6,1382,,,1.0,,,,,,,,
Cayenne_Jump_1,0,,,,,,,,,,,
Cayenne_Jump_2,0,,,,,,,,,,,
Cayenne_Jump_3,0,,,,,,,,,,,
Cayenne_Jump_4,0,,,,,,,,,,,
Cayenne_Jump_5,0,,,,,,,,,,,
Cayenne_Jump_6,0,,,,,,,,,,,
Chester_Jump_1,0,,,,,,,,,,,
Chester_Jump_2,0,,,,,,,,,,,
Chester_Jump_3,0,,,,,,,,,,,
Chester_Jump_4,0,,,,,,,,,,,
Chester_Jump_5,0,,,,,,,,,,,
Chester_Jump_6,0,,,,,,,,,,,
Delta_Jump_1,0,,,,,,,,,,,
Delta_Jump_2,0,,,,,,,,,,,
Delta_Jump_3,0,,,,,,,,,,,
Delta_Jump_4,0,,,,,,,,,,,
Delta_Jump_5,0,,,,,,,,,,,
Delta_Jump_6,0,,,,,,,,,,,
Derby_Jump_1,0,,,,,,,,,,,
Derby_Jump_2,0,,,,,,,,,,,
Derby_Jump_3,0,,,,,,,,,,,
Derby_Jump_4,0,,,,,,,,,,,
Derby_Jump_5,0,,,,,,,,,,,
Derby_Jump_6,0,,,,,,,,,,,
Dolphin_Jump_1,0,,,,,,,,,,,
Dolphin_Jump_2,0,,,,,,,,,,,
Dolphin_Jump_3,0,,,,,,,,,,,
Dolphin_Jump_4,0,,,,,,,,,,,
Dolphin_Jump_5,0,,,,,,,,,,,
Dolphin_Jump_6,0,,,,,,,,,,,
Goose_Jump_1,0,,,,,,,,,,,
Goose_Jump_2,0,,,,,,,,,,,
Goose_Jump_3,0,,,,,,,,,,,
Goose_Jump_4,0,,,,,,,,,,,
Goose_Jump_5,0,,,,,,,,,,,
Goose_Jump_6,0,,,,,,,,,,,
Izzy_Jump_1,0,,,,,,,,,,,
Izzy_Jump_2,0,,,,,,,,,,,
Izzy_Jump_3,0,,,,,,,,,,,
Izzy_Jump_4,0,,,,,,,,,,,
Izzy_Jump_5,0,,,,,,,,,,,
Izzy_Jump_6,0,,,,,,,,,,,
Jax_Jump_1,0,,,,,,,,,,,
Jax_Jump_2,0,,,,,,,,,,,
Jax_Jump_3,0,,,,,,,,,,,
Jax_Jump_4,0,,,,,,,,,,,
Jax_Jump_5,0,,,,,,,,,,,
Jax_Jump_6,0,,,,,,,,,,,
Jyn_Jump_1,0,,,,,,,,,,,
Jyn_Jump_2,0,,,,,,,,,,,
Jyn_Jump_3,0,,,,,,,,,,,
Jyn_Jump_4,0,,,,,,,,,,,
Jyn_Jump_5,0,,,,,,,,,,,
Jyn_Jump_6,0,,,,,,,,,,,
Kahlua_Jump_1,0,,,,,,,,,,,
Kahlua_Jump_2,0,,,,,,,,,,,
Kahlua_Jump_3,0,,,,,,,,,,,
Kahlua_Jump_4,0,,,,,,,,,,,
Kahlua_Jump_5,0,,,,,,,,,,,
Kahlua_Jump_6,0,,,,,,,,,,,
Nico_Jump_1,0,,,,,,,,,,,
Nico_Jump_2,0,,,,,,,,,,,
Nico_Jump_3,0,,,,,,,,,,,
Nico_Jump_4,0,,,,,,,,,,,
Nico_Jump_5,0,,,,,,,,,,,
Nico_Jump_6,0,,,,,,,,,,,
Noodle_Jump_1,0,,,,,,,,,,,
Noodle_Jump_2,0,,,,,,,,,,,
Noodle_Jump_3,0,,,,,,,,,,,
Noodle_Jump_4,0,,,,,,,,,,,
Noodle_Jump_5,0,,,,,,,,,,,
Noodle_Jump_6,0,,,,,,,,,,,
Pizza_Jump_1,0,,,,,,,,,,,
Pizza_Jump_2,0,,,,,,,,,,,
Pizza_Jump_3,0,,,,,,,,,,,
Pizza_Jump_4,0,,,,,,,,,,,
Pizza_Jump_5,0,,,,,,,,,,,
Pizza_Jump_6,0,,,,,,,,,,,
Raina_Jump_1,0,,,,,,,,,,,
Raina_Jump_2,0,,,,,,,,,,,
Raina_Jump_3,0,,,,,,,,,,,
Raina_Jump_4,0,,,,,,,,,,,
Raina_Jump_5,0,,,,,,,,,,,
Raina_Jump_6,0,,,,,,,,,,,
Raina_Jump_7,0,,,,,,,,,,,
Revv_Jump_1,0,,,,,,,,,,,
Revv_Jump_2,0,,,,,,,,,,,
Revv_Jump_3,0,,,,,,,,,,,
Revv_Jump_4,0,,,,,,,,,,,
Revv_Jump_5,0,,,,,,,,,,,
Revv_Jump_6,0,,,,,,,,,,,
Rockett_Jump_2,0,,,,,,,,,,,
Rockett_Jump_3,0,,,,,,,,,,,
Rockett_Jump_4,0,,,,,,,,,,,
Rockett_Jump_5,0,,,,,,,,,,,
Rockett_Jump_6,0,,,,,,,,,,,
Rockett_Jump_7,0,,,,,,,,,,,
Rumchata_Jump_1,0,,,,,,,,,,,
Rumchata_Jump_2,0,,,,,,,,,,,
Rumchata_Jump_4,0,,,,,,,,,,,
Rumchata_Jump_5,0,,,,,,,,,,,
Rumchata_Jump_6,0,,,,,,,,,,,
Rumchata_Jump_7,0,,,,,,,,,,,
Sass_Jump_1,0,,,,,,,,,,,
Sass_Jump_2,0,,,,,,,,,,,
Tigger_Jump_1,0,,,,,,,,,,,
Tigger_Jump_2,0,,,,,,,,,,,
Tigger_Jump_3,0,,,,,,,,,,,
Tigger_Jump_4,0,,,,,,,,,,,
Tigger_Jump_5,0,,,,,,,,,,,
Tigger_Jump_6,0,,,,,,,,,,,
Vivi_Jump_1,0,,,,,,,,,,,
Vivi_Jump_2,0,,,,,,,,,,,
Vivi_Jump_3,0,,,,,,,,,,,
Vivi_Jump_4,0,,,,,,,,,,,
Vivi_Jump_5,0,,,,,,,,,,,
Vivi_Jump_6,0,,,,,,,,,,,
Zazu_Jump_1,0,,,,,,,,,,,
Zazu_Jump_2,0,,,,,,,,,,,
Zazu_Jump_3,0,,,,,,,,,,,
Zazu_Jump_4,0,,,,,,,,,,,
Zazu_Jump_5,0,,,,,,,,,,,
Zazu_Jump_6,0,,,,,,,,,,,
