Folder,First_Leap_Frame,IMU_First_Peak_Sample,IMU_Peak_Time_s,Video_Leap_Time_ms,Offset_ms,Confidence,Trimmed,Trim_Offset_s
Aeros_Tunnel_1,322,21,2.598,1341.67,1256.4,0.29,True,2.383
Aeros_Tunnel_2,884,59,5.0863,3683.33,1403.0,0.49,True,4.4677
Aeros_Tunnel_3,440,11,3.6026,1833.33,1769.3,0.54,True,3.4891
Aeros_Tunnel_4,390,27,5.6802,1625.0,4055.2,0.57,True,5.4008
Arya_Tunnel_1,276,66,3.9566,1150.0,2806.6,0.51,True,3.2641
Arya_Tunnel_2,932,28,7.071,3883.33,3187.6,0.7,True,6.7773
Arya_Tunnel_3,571,35,6.421,2379.17,4041.8,0.62,True,6.0524
Arya_Tunnel_4,452,38,2.7676,1883.33,884.3,0.57,True,2.3697
Cayenne_Tunnel_1,1034,33,9.1487,4308.33,4840.4,0.62,True,8.805
Chester_Tunnel_1,611,26,7.3469,2545.83,4801.1,0.45,True,7.0814
Chester_Tunnel_2,579,40,9.9998,2412.5,7587.3,0.28,True,9.5865
Chester_Tunnel_3,559,30,8.0237,2329.17,5694.5,0.35,True,7.7116
Delta_Tunnel_1,812,75,15.4147,3383.33,12031.4,1.0,True,14.6241
Delta_Tunnel_2,773,62,7.7896,3220.83,4568.8,1.0,True,7.1412
Delta_Tunnel_3,962,67,10.9109,4008.33,6902.6,1.0,True,10.2052
Derby_Tunnel_1,672,44,2.9694,2800.0,169.4,0.36,True,2.5115
Derby_Tunnel_2,610,32,4.9766,2541.67,2434.9,0.76,True,4.651
Derby_Tunnel_3,669,33,4.532,2787.5,1744.5,0.68,True,4.1907
Dolphin_Tunnel_1,272,36,5.9243,1133.33,4791.0,0.75,True,5.5475
Goose_Tunnel_1,1396,18,35.5638,5816.67,29747.1,0.51,True,35.3773
Goose_Tunnel_2,1249,90,13.1617,5204.17,7957.6,1.0,True,12.2378
Goose_Tunnel_3,1214,81,12.0242,5058.33,6965.8,0.24,True,11.1749
Izzy_Tunnel_1,558,34,7.2588,2325.0,4933.8,0.46,True,6.9138
Izzy_Tunnel_2,275,22,5.7005,1145.83,4554.7,0.49,True,5.4691
Izzy_Tunnel_3,968,66,6.9292,4033.33,2895.9,0.88,True,6.2369
Jax_Tunnel_1,763,29,20.4549,3179.17,17275.7,0.35,True,20.153
Jax_Tunnel_2,750,76,19.4491,3125.0,16324.1,0.38,True,18.6555
Jax_Tunnel_3,679,77,17.4276,2829.17,14598.5,0.55,True,16.6233
Jyn_Tunnel_1,772,34,3.7485,3216.67,531.8,0.15,True,3.3934
Jyn_Tunnel_2,857,40,33.9621,3570.83,30391.3,0.39,True,33.5393
Jyn_Tunnel_3,912,59,11.0539,3800.0,7253.9,1.0,True,10.4357
Kahlua_Tunnel_1,781,92,7.7571,3254.17,4502.9,1.0,True,6.7932
Kahlua_Tunnel_2,707,55,5.2812,2945.83,2335.4,1.0,True,4.7038
Kahlua_Tunnel_3,634,50,5.6074,2641.67,2965.7,0.87,True,5.0846
Kahlua_Tunnel_4,836,75,8.3451,3483.33,4861.8,0.75,True,7.5585
Nico_Tunnel_1,695,58,11.3571,2895.83,8461.3,0.77,True,10.7534
Nico_Tunnel_2,687,43,7.2369,2862.5,4374.4,0.62,True,6.7766
Nico_Tunnel_3,591,47,8.9395,2462.5,6477.0,0.73,True,8.4502
Noodle_Tunnel_1,747,45,3.8501,3112.5,737.6,0.72,True,3.378
Noodle_Tunnel_2,738,40,6.5215,3075.0,3446.5,0.26,True,6.1019
Pizza_Tunnel_1,776,45,52.8949,3233.33,49661.6,0.41,True,52.431
Pizza_Tunnel_2,1031,50,5.3891,4295.83,1093.2,0.51,True,4.8918
Pizza_Tunnel_3,1113,66,5.4091,4637.5,771.6,0.54,True,4.7278
Raina_Tunnel_1,276,100,57.6804,1150.0,56530.4,0.5,True,56.641
Raina_Tunnel_2,1095,111,24.1489,4562.5,19586.4,0.46,True,22.99
Raina_Tunnel_3,492,73,5.2659,2050.0,3215.9,0.55,True,4.503
Revv_Tunnel_1,912,35,16.7796,3800.0,12979.6,0.22,True,16.4373
Revv_Tunnel_2,773,40,8.3245,3220.83,5103.7,0.31,True,7.9058
Revv_Tunnel_3,805,47,6.8938,3354.17,3539.6,0.22,True,6.4015
Rockett_Tunnel_1,842,25,5.4274,3508.33,1919.0,0.43,True,5.1635
Rockett_Tunnel_2,746,50,5.4728,3108.33,2364.4,0.43,True,4.9482
Rockett_Tunnel_3,965,24,7.8074,4020.83,3786.5,0.42,True,7.5652
Rumchata_Tunnel_1,721,49,10.8591,3004.17,7855.0,0.29,True,10.3441
Rumchata_Tunnel_2,514,61,9.0087,2141.67,6867.0,0.28,True,8.3679
Rumchata_Tunnel_3,970,49,7.8371,4041.67,3795.4,0.32,True,7.3247
Sass_Tunnel_1,1584,45,11.2665,6600.0,4666.5,0.51,True,10.7943
Sass_Tunnel_2,2726,42,7.9399,11358.33,-3418.4,0.23,True,7.4989
Sass_Tunnel_3,1604,23,13.6358,6683.33,6952.5,0.35,True,13.3945
Tigger_Tunnel_1,1316,38,13.5686,5483.33,8085.3,0.41,True,13.1683
Tigger_Tunnel_2,2092,29,10.512,8716.67,1795.4,0.45,True,10.2061
Tigger_Tunnel_3,1357,31,8.556,5654.17,2901.8,0.46,True,8.2333
Vivi_Tunnel_1,1405,22,10.4271,5854.17,4573.0,0.69,True,10.224
Vivi_Tunnel_2,1174,22,6.8426,4891.67,1950.9,1.0,True,6.6129
Vivi_Tunnel_3,1580,37,8.8601,6583.33,2276.8,0.89,True,8.4746
Zazu_Tunnel_1,2910,20,21.0368,12125.0,8911.8,0.52,True,20.8279
Zazu_Tunnel_2,1265,34,5.9781,5270.83,707.3,0.17,True,5.6237
Zazu_Tunnel_3,1035,22,6.0061,4312.5,1693.6,0.63,True,5.7755
