Folder,Motion_Onset_Frame,Peak_Time_s,Offset_ms,Confidence,IMU_Peak_Time_s,IMU_Offset_ms,IMU_Confidence,IMU_Start_Time,GoPro_Start_Time,IMU_Trim_Start_Time,GT_Offset_ms,Error_ms
Aeros_Tunnel_1,322,,1041.3,1.0,,,,,,2.383,,
Aeros_Tunnel_2,884,,784.4,1.0,,,,,,4.4677,,
Aeros_Tunnel_3,440,,1655.8,1.0,,,,,,3.4891,,
Aeros_Tunnel_4,390,,3775.8,1.0,,,,,,5.4008,,
Arya_Tunnel_1,276,,2114.1,1.0,,,,,,3.2641,,
Arya_Tunnel_2,932,,2894.0,1.0,,,,,,6.7773,,
Arya_Tunnel_3,571,,3673.2,1.0,,,,,,6.0524,,
Arya_Tunnel_4,452,,486.4,1.0,,,,,,2.3697,,
Cayenne_Tunnel_1,1034,,4496.7,1.0,,,,,,8.805,,
Chester_Tunnel_1,611,,4535.6,1.0,,,,,,7.0814,,
Chester_Tunnel_2,579,,7174.0,1.0,,,,,,9.5865,,
Chester_Tunnel_3,559,,5382.4,1.0,,,,,,7.7116,,
Delta_Tunnel_1,812,,11240.8,1.0,,,,,,14.6241,,
Delta_Tunnel_2,773,,3920.4,1.0,,,,,,7.1412,,
Delta_Tunnel_3,962,,6196.9,1.0,,,,,,10.2052,,
Derby_Tunnel_1,672,,-288.5,1.0,,,,,,2.5115,,
Derby_Tunnel_2,610,,2109.3,1.0,,,,,,4.651,,
Derby_Tunnel_3,669,,1403.2,1.0,,,,,,4.1907,,
Dolphin_Tunnel_1,272,,4414.2,1.0,,,,,,5.5475,,
Goose_Tunnel_1,1396,,29560.6,1.0,,,,,,35.3773,,
Goose_Tunnel_2,1249,,7033.6,1.0,,,,,,12.2378,,
Goose_Tunnel_3,1214,,6116.6,1.0,,,,,,11.1749,,
Izzy_Tunnel_1,558,,4588.8,1.0,,,,,,6.9138,,
Izzy_Tunnel_2,275,,4323.3,1.0,,,,,,5.4691,,
Izzy_Tunnel_3,968,,2203.6,1.0,,,,,,6.2369,,
Jax_Tunnel_1,763,,16973.8,1.0,,,,,,20.153,,
Jax_Tunnel_2,750,,15530.5,1.0,,,,,,18.6555,,
Jax_Tunnel_3,679,,13794.1,1.0,,,,,,16.6233,,
Jyn_Tunnel_1,772,,176.7,1.0,,,,,,3.3934,,
Jyn_Tunnel_2,857,,29968.5,1.0,,,,,,33.5393,,
Jyn_Tunnel_3,912,,6635.7,1.0,,,,,,10.4357,,
Kahlua_Tunnel_1,781,,3539.0,1.0,,,,,,6.7932,,
Kahlua_Tunnel_2,707,,1758.0,1.0,,,,,,4.7038,,
Kahlua_Tunnel_3,634,,2442.9,1.0,,,,,,5.0846,,
Kahlua_Tunnel_4,836,,4075.2,1.0,,,,,,7.5585,,
Nico_Tunnel_1,695,,7857.6,1.0,,,,,,10.7534,,
Nico_Tunnel_2,687,,3914.1,1.0,,,,,,6.7766,,
Nico_Tunnel_3,591,,5987.7,1.0,,,,,,8.4502,,
Noodle_Tunnel_1,747,,265.5,1.0,,,,,,3.378,,
Noodle_Tunnel_2,738,,3026.9,1.0,,,,,,6.1019,,
Pizza_Tunnel_1,776,,49197.7,1.0,,,,,,52.431,,
Pizza_Tunnel_2,1031,,596.0,1.0,,,,,,4.8918,,
Pizza_Tunnel_3,1113,,90.3,1.0,,,,,,4.7278,,
Raina_Tunnel_1,276,,55491.0,1.0,,,,,,56.641,,
Raina_Tunnel_2,1095,,18427.5,1.0,,,,,,22.99,,
Raina_Tunnel_3,492,,2453.0,1.0,,,,,,4.503,,
Revv_Tunnel_1,912,,12637.3,1.0,,,,,,16.4373,,
Revv_Tunnel_2,773,,4685.0,1.0,,,,,,7.9058,,
Revv_Tunnel_3,805,,3047.3,1.0,,,,,,6.4015,,
Rockett_Tunnel_1,842,,1655.2,1.0,,,,,,5.1635,,
Rockett_Tunnel_2,746,,1839.9,1.0,,,,,,4.9482,,
Rockett_Tunnel_3,965,,3544.4,1.0,,,,,,7.5652,,
Rumchata_Tunnel_1,721,,7339.9,1.0,,,,,,10.3441,,
Rumchata_Tunnel_2,514,,6226.2,1.0,,,,,,8.3679,,
Rumchata_Tunnel_3,970,,3283.0,1.0,,,,,,7.3247,,
Sass_Tunnel_1,1310,,5336.0,1.0,,,,,,10.7943,5522.0,-186.0
Sass_Tunnel_2,1270,,2207.2,1.0,,,,,,7.4989,2418.0,-210.80000000000018
Sass_Tunnel_3,1405,,7540.3,1.0,,,,,,13.3945,7731.0,-190.69999999999982
Tigger_Tunnel_1,1088,,8635.0,1.0,,,,,,13.1683,8866.0,-231.0
Tigger_Tunnel_2,2042,,1697.8,1.0,,,,,,10.2061,1881.0,-183.20000000000005
Tigger_Tunnel_3,1140,,3483.3,1.0,,,,,,8.2333,2836.0,647.3000000000002
Vivi_Tunnel_1,1382,,4465.7,1.0,,,,,,10.224,4580.0,-114.30000000000018
Vivi_Tunnel_2,1150,,1821.2,1.0,,,,,,6.6129,1911.0,-89.79999999999995
Vivi_Tunnel_3,1518,,2149.6,1.0,,,,,,8.4746,2639.0,-489.4000000000001
Zazu_Tunnel_1,2792,,9194.6,1.0,,,,,,20.8279,9305.0,-110.39999999999964
Zazu_Tunnel_2,1226,,515.4,1.0,,,,,,5.6237,567.0,-51.60000000000002
Zazu_Tunnel_3,1012,,1558.8,1.0,,,,,,5.7755,1701.0,-142.20000000000005
