Folder,Frame_f1,Frame_f2,Frame_f3,Frame_f4,Frame_f5,Frame_f6,Time_f4_ms,Time_f5_ms,Time_f6_ms,Hind_Leave_Frame,Hind_Leave_Time_ms
Aeros_Teeter_1,,,,,,,,,,,
Aeros_Teeter_2,,,,,,,,,,,
Aeros_Teeter_3,,,,,,,,,,,
Aeros_Teeter_4,,,,,,,,,,,
Arya_Teeter_1,,,,1890,1940,1960,7875.0,8083.3,8166.7,1960,8166.7
Arya_Teeter_2,,,,1360,1430,1460,5666.7,5958.3,6083.3,1460,6083.3
Arya_Teeter_3,,,,1900,1940,1980,7916.7,8083.3,8250.0,1980,8250.0
Arya_Teeter_5,,,,490,520,550,2041.7,2166.7,2291.7,550,2291.7
Cayenne_Teeter_1,,,,,,,,,,,
Cayenne_Teeter_2,,,,,,,,,,,
Cayenne_Teeter_3,,,,,,,,,,,
Cayenne_Teeter_4,,,,,,,,,,,
Chester_Teeter_1,,,,,,,,,,,
Chester_Teeter_2,,,,,,,,,,,
Chester_Teeter_3,,,,,,,,,,,
Chester_Teeter_4,,,,,,,,,,,
Delta_Teeter_1,,,,,,,,,,,
Delta_Teeter_2,,,,,,,,,,,
Delta_Teeter_3,,,,,,,,,,,
Delta_Teeter_4,,,,,,,,,,,
Derby_Teeter_1,,,,,,,,,,,
Derby_Teeter_2,,,,,,,,,,,
Derby_Teeter_3,,,,,,,,,,,
Derby_Teeter_4,,,,,,,,,,,
Dolphin_Teeter_1,,,,,,,,,,,
Dolphin_Teeter_2,,,,,,,,,,,
Dolphin_Teeter_3,,,,,,,,,,,
Dolphin_Teeter_4,,,,,,,,,,,
Goose_Teeter_1,,,,,,,,,,,
Goose_Teeter_2,,,,,,,,,,,
Goose_Teeter_3,,,,,,,,,,,
Goose_Teeter_4,,,,,,,,,,,
Izzy_Teeter_1,,,,,,,,,,,
Izzy_Teeter_2,,,,,,,,,,,
Izzy_Teeter_3,,,,,,,,,,,
Izzy_Teeter_4,,,,,,,,,,,
Izzy_Teeter_5,,,,,,,,,,,
Jyn_Teeter_1,,,,,,,,,,,
Jyn_Teeter_2,,,,,,,,,,,
Jyn_Teeter_3,,,,,,,,,,,
Jyn_Teeter_4,,,,,,,,,,,
Kahlua_Teeter_1,,,,,,,,,,,
Kahlua_Teeter_2,,,,,,,,,,,
Kahlua_Teeter_3,,,,,,,,,,,
Kahlua_Teeter_4,,,,,,,,,,,
Nico_Teeter_1,,,,,,,,,,,
Nico_Teeter_2,,,,,,,,,,,
Nico_Teeter_3,,,,,,,,,,,
Nico_Teeter_4,,,,,,,,,,,
Noodle_Teeter_1,,,,,,,,,,,
Noodle_Teeter_2,,,,,,,,,,,
Noodle_Teeter_4,,,,,,,,,,,
Noodle_Teeter_5,,,,,,,,,,,
Pizza_Teeter_1,,,,,,,,,,,
Pizza_Teeter_2,,,,,,,,,,,
Pizza_Teeter_3,,,,,,,,,,,
Pizza_Teeter_4,,,,,,,,,,,
Raina_Teeter_1,,,,,,,,,,,
Raina_Teeter_2,,,,,,,,,,,
Raina_Teeter_3,,,,,,,,,,,
Raina_Teeter_4,,,,,,,,,,,
Revv_Teeter_1,,,,,,,,,,,
Revv_Teeter_2,,,,,,,,,,,
Revv_Teeter_3,,,,,,,,,,,
Revv_Teeter_4,,,,,,,,,,,
Revv_Teeter_5,,,,,,,,,,,
Rockett_Teeter_1,,,,,,,,,,,
Rockett_Teeter_2,,,,,,,,,,,
Rockett_Teeter_3,,,,,,,,,,,
Rockett_Teeter_4,,,,,,,,,,,
Rumchata_Teeter_1,,,,,,,,,,,
Rumchata_Teeter_2,,,,,,,,,,,
Rumchata_Teeter_3,,,,,,,,,,,
Rumchata_Teeter_4,,,,,,,,,,,
Sass_Teeter_1,,,,2140,2150,2160,8916.7,8958.3,9000.0,2160,9000.0
Sass_Teeter_2,,,,1860,1870,1880,7750.0,7791.7,7833.3,1880,7833.3
Sass_Teeter_3,,,,1420,1430,1440,5916.7,5958.3,6000.0,1440,6000.0
Sass_Teeter_4,,,,1880,1900,1910,7833.3,7916.7,7958.3,1910,7958.3
Tigger_Teeter_1,,,,1810,1860,1920,7541.7,7750.0,8000.0,1920,8000.0
Tigger_Teeter_2,,,,1580,1640,1700,6583.3,6833.3,7083.3,1700,7083.3
Tigger_Teeter_3,,,,1580,1660,1720,6583.3,6916.7,7166.7,1720,7166.7
Tigger_Teeter_4,,,,1360,1440,1500,5666.7,6000.0,6250.0,1500,6250.0
Vivi_Teeter_1,,,,1880,1900,1920,7833.3,7916.7,8000.0,1920,8000.0
Vivi_Teeter_2,,,,1230,1250,1270,5125.0,5208.3,5291.7,1270,5291.7
Vivi_Teeter_3,,,,1000,1020,1040,4166.7,4250.0,4333.3,1040,4333.3
Vivi_Teeter_4,,,,1000,1020,1040,4166.7,4250.0,4333.3,1040,4333.3
Zazu_Teeter_1,,,,2260,2320,2380,9416.7,9666.7,9916.7,2380,9916.7
Zazu_Teeter_2,,,,1600,1680,1760,6666.7,7000.0,7333.3,1760,7333.3
Zazu_Teeter_3,,,,1840,1920,2000,7666.7,8000.0,8333.3,2000,8333.3
Zazu_Teeter_4,,,,1760,1840,1920,7333.3,7666.7,8000.0,1920,8000.0
